"Date","Price","Open","High","Low","Vol.","Change %"
"01/18/2026","45.510","46.280","46.500","44.000","662.67K","-0.96%"
"01/11/2026","45.950","43.955","46.800","43.870","950.01K","6.00%"
"01/04/2026","43.350","40.650","44.950","40.650","585.95K","6.46%"
"12/28/2025","40.720","40.380","40.650","40.180","253.78K","0.67%"
"12/21/2025","40.450","40.030","40.460","40.030","199.63K","1.39%"
"12/14/2025","39.895","40.085","40.700","39.900","361.10K","-0.27%"
"12/07/2025","40.005","39.530","41.705","39.250","333.43K","1.79%"
"11/30/2025","39.300","38.470","39.400","38.100","223.97K","3.60%"
"11/23/2025","37.935","37.695","38.540","37.695","275.85K","0.93%"
"11/16/2025","37.585","39.195","39.990","37.300","491.64K","-3.27%"
"11/09/2025","38.855","37.965","39.500","37.965","326.17K","2.64%"
"11/02/2025","37.855","37.500","38.045","37.500","219.62K","1.37%"
"10/26/2025","37.345","37.400","38.200","37.000","260.68K","0.09%"
"10/19/2025","37.310","36.355","37.500","36.200","192.75K","3.52%"
"10/12/2025","36.040","35.910","36.300","35.700","176.64K","0.66%"
"10/05/2025","35.805","35.780","36.450","35.645","172.14K","0.39%"
"09/28/2025","35.665","34.990","35.990","34.990","155.75K","2.15%"
"09/21/2025","34.915","34.650","35.100","34.260","120.68K","1.20%"
"09/14/2025","34.500","34.750","35.000","34.400","119.98K","0.01%"
"09/07/2025","34.495","34.470","35.000","34.115","248.56K","0.28%"
"08/31/2025","34.400","34.220","35.500","33.380","207.48K","0.89%"
"08/24/2025","34.095","34.600","35.000","34.145","150.51K","-0.84%"
"08/17/2025","34.385","34.970","35.000","34.080","171.73K","-1.76%"
"08/10/2025","35.000","34.740","35.490","34.480","171.14K","0.86%"
"08/03/2025","34.700","33.240","35.050","33.235","198.14K","4.27%"
"07/27/2025","33.280","32.900","33.610","32.805","155.28K","1.02%"
"07/20/2025","32.945","32.850","33.000","32.560","129.50K","0.50%"
"07/13/2025","32.780","31.470","32.935","31.430","172.75K","4.73%"
"07/06/2025","31.300","31.095","31.500","30.650","150.51K","1.31%"
"06/29/2025","30.895","30.700","31.280","30.600","156.89K","0.57%"
"06/22/2025","30.720","30.800","30.935","30.200","128.74K","-0.26%"
"06/15/2025","30.800","30.200","30.800","30.000","133.41K","2.14%"
"06/08/2025","30.155","30.550","30.625","29.900","155.36K","-1.34%"
"06/01/2025","30.565","29.400","30.855","29.205","267.40K","3.59%"
"05/25/2025","29.505","28.280","29.400","28.265","163.31K","4.74%"
"05/18/2025","28.170","27.900","28.500","27.800","237.68K","4.41%"
"05/11/2025","26.980","25.800","26.980","25.800","187.45K","4.35%"
"05/04/2025","25.855","26.900","26.900","25.280","440.44K","-4.40%"
"04/27/2025","27.045","27.450","27.570","27.100","93.04K","-1.85%"
"04/20/2025","27.555","27.140","27.560","27.000","63.10K","2.02%"
"04/13/2025","27.010","27.500","27.550","27.065","57.53K","-0.31%"
"04/06/2025","27.095","25.900","27.700","25.190","239.62K","1.71%"
"03/30/2025","26.640","27.700","27.750","26.540","155.05K","-4.07%"
"03/23/2025","27.770","27.595","27.700","27.450","90.32K","1.17%"
"03/16/2025","27.450","27.540","27.630","27.350","76.80K","0.13%"
"03/09/2025","27.415","27.850","27.990","27.500","105.13K","-1.77%"
"03/02/2025","27.910","27.845","27.990","27.000","156.89K","0.59%"
"02/23/2025","27.745","27.700","27.995","27.700","105.34K","0.40%"
"02/16/2025","27.635","27.880","27.995","27.615","29.79K","-0.83%"
"02/09/2025","27.865","27.095","27.950","26.945","38.03K","2.88%"
"02/02/2025","27.085","26.785","27.200","26.600","20.87K","1.44%"
