"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2025","0.4305","0.4280","0.4575","0.4250","22.87M","0.58%"
"11/01/2025","0.4280","0.4305","0.4375","0.4110","14.31M","-0.58%"
"10/01/2025","0.4305","0.4360","0.4390","0.4210","41.43M","-1.71%"
"09/01/2025","0.4380","0.4350","0.4680","0.4166","31.74M","0.69%"
"08/01/2025","0.4350","0.4270","0.4686","0.4126","27.73M","0.93%"
"07/01/2025","0.4310","0.3514","0.4678","0.3362","50.48M","23.06%"
"06/01/2025","0.3502","0.3734","0.3918","0.3490","17.71M","-24.84%"
"05/01/2025","0.4660","0.3645","0.4950","0.3325","31.27M","27.85%"
"04/01/2025","0.3645","0.3885","0.3890","0.3400","15.26M","-6.18%"
"03/01/2025","0.3885","0.4270","0.4380","0.3850","16.39M","-9.02%"
"02/01/2025","0.4270","0.4215","0.4395","0.4120","12.21M","1.91%"
"01/01/2025","0.4190","0.4570","0.4575","0.4155","15.14M","-8.32%"
"12/01/2024","0.4570","0.4125","0.4570","0.3780","19.51M","10.79%"
"11/01/2024","0.4125","0.4685","0.4780","0.4125","23.21M","-11.95%"
"10/01/2024","0.4685","0.4950","0.5000","0.4675","12.52M","-5.54%"
"09/01/2024","0.4960","0.4905","0.5000","0.4765","10.84M","0.61%"
"08/01/2024","0.4930","0.5420","0.5420","0.4880","2.58M","-9.21%"
"07/01/2024","0.5430","0.5630","0.5690","0.5370","19.91M","-3.55%"
"06/01/2024","0.5630","0.5640","0.5710","0.5400","14.19M","-0.18%"
"05/01/2024","0.5640","0.5630","0.5740","0.5310","17.97M","0.00%"
"04/01/2024","0.5640","0.5480","0.5810","0.5420","19.73M","2.92%"
"03/01/2024","0.5480","0.5850","0.5930","0.5220","19.26M","-6.32%"
"02/01/2024","0.5850","0.5770","0.6190","0.5670","22.69M","1.39%"
